id,challan_no,created_at,video_name,frame_number,timestamp_seconds,vehicle_number,violation,fine_amount,signal_status,confidence,message_status,payment_status,notes
11,CH-6CEAF1173C,2026-08-29 04:14:56.984830+00:00,video_1.mp4,177,7.08,NOT_READ,NO_HELMET,500.0,RED,0.7567143440246582,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
10,CH-B368917CD6,2026-08-29 04:14:49.543646+00:00,video_1.mp4,173,6.92,NOT_READ,NO_HELMET,500.0,RED,0.576251745223999,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
9,CH-F751EB9F94,2026-08-29 04:14:35.618831+00:00,video_1.mp4,165,6.6,NOT_READ,NO_HELMET,500.0,RED,0.6211071014404297,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
8,CH-4A126D2048,2026-08-29 04:14:18.026384+00:00,video_1.mp4,154,6.16,NOT_READ,NO_HELMET,500.0,RED,0.45736199617385864,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
7,CH-2EAE97F207,2026-08-29 04:12:04.957910+00:00,video_1.mp4,85,3.4,NOT_READ,NO_HELMET,500.0,RED,0.7978438138961792,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
6,CH-3811906282,2026-08-29 04:11:46.114377+00:00,video_1.mp4,77,3.08,NOT_READ,NO_HELMET,500.0,RED,0.6256068348884583,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
5,CH-6FEF5C978E,2026-08-29 04:10:15.235314+00:00,video_1.mp4,34,1.36,NOT_READ,NO_HELMET,500.0,RED,0.6148759126663208,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
4,CH-E1D1AADDB5,2026-08-29 04:10:02.585455+00:00,video_1.mp4,28,1.12,NOT_READ,NO_HELMET,500.0,RED,0.5235288739204407,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
3,CH-8B1A9C8CAA,2026-08-29 04:09:45.958213+00:00,video_1.mp4,21,0.84,NOT_READ,NO_HELMET,500.0,RED,0.6010481715202332,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
2,CH-014AA88D30,2026-08-29 04:09:43.273089+00:00,video_1.mp4,20,0.8,NOT_READ,NO_HELMET,500.0,RED,0.43959879875183105,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
1,CH-78DD02171F,2026-08-29 04:09:37.913037+00:00,video_1.mp4,18,0.72,NOT_READ,NO_HELMET,500.0,RED,0.6513965725898743,NOT_CONFIGURED,SIMULATED,Educational prototype; no real money deducted.
