frame,timestamp,class,confidence,track_id,x1,y1,x2,y2
9,0.29,No Helmet,0.2933,,3,504,34,545
93,2.99,No Helmet,0.3416,,34,495,66,537
94,3.02,No Helmet,0.6781,,22,491,55,534
96,3.08,No Helmet,0.4916,,0,494,27,533
161,5.17,No Helmet,0.6945,,304,467,329,497
163,5.24,No Helmet,0.3077,,296,467,321,494
165,5.3,No Helmet,0.2554,,285,466,311,493
166,5.33,Helmet,0.2857,,284,469,309,496
168,5.4,No Helmet,0.273,,276,467,302,496
172,5.52,Helmet,0.3568,,259,465,284,493
173,5.56,Helmet,0.3454,,251,468,277,496
175,5.62,No Helmet,0.4532,,230,467,251,494
176,5.65,No Helmet,0.7446,12,229,466,252,496
177,5.69,No Helmet,0.5282,12,227,465,250,495
179,5.75,No Helmet,0.7952,12,216,463,243,498
180,5.78,No Helmet,0.7901,12,207,463,237,501
181,5.81,No Helmet,0.7135,12,200,463,229,499
182,5.85,No Helmet,0.7155,12,197,462,224,497
183,5.88,No Helmet,0.8325,12,187,460,215,496
184,5.91,No Helmet,0.7985,12,179,459,210,499
185,5.94,No Helmet,0.7846,12,176,459,205,496
186,5.97,No Helmet,0.5149,12,172,458,202,496
187,6.01,No Helmet,0.2574,12,167,460,195,494
188,6.04,No Helmet,0.259,,154,465,181,498
189,6.07,No Helmet,0.4859,,141,461,167,493
190,6.1,No Helmet,0.8136,12,136,459,167,498
191,6.14,No Helmet,0.412,16,104,475,132,502
191,6.14,No Helmet,0.6502,12,130,459,160,496
192,6.17,No Helmet,0.7809,12,122,460,154,500
193,6.2,No Helmet,0.7723,12,114,460,146,499
194,6.23,No Helmet,0.864,12,106,461,136,499
200,6.42,No Helmet,0.2902,,222,463,243,490
201,6.46,No Helmet,0.4999,,40,462,75,499
201,6.46,No Helmet,0.3316,,221,461,241,491
202,6.49,No Helmet,0.4771,,153,456,178,488
203,6.52,No Helmet,0.6219,20,155,457,180,489
204,6.55,No Helmet,0.6146,20,155,456,181,489
204,6.55,No Helmet,0.3763,21,130,478,152,504
205,6.58,No Helmet,0.4484,,1,460,32,497
205,6.58,No Helmet,0.259,,134,479,156,505
219,7.03,No Helmet,0.3533,,182,459,209,491
220,7.07,No Helmet,0.5049,25,182,458,210,492
221,7.1,No Helmet,0.4307,25,184,458,214,495
224,7.2,No Helmet,0.4848,25,187,460,219,499
251,8.06,Only Helmet,0.6752,,82,453,328,740
252,8.09,Only Helmet,0.6846,26,79,452,329,744
253,8.13,Only Helmet,0.8139,26,76,455,327,749
254,8.16,Only Helmet,0.5215,26,71,458,320,750
255,8.19,Only Helmet,0.3333,26,69,460,316,751
256,8.22,Only Helmet,0.904,26,66,458,317,755
259,8.32,Only Helmet,0.3063,26,57,457,302,747
260,8.35,Only Helmet,0.3322,26,51,454,293,741
267,8.58,Helmet,0.4848,,274,476,300,506
268,8.61,Helmet,0.7335,27,272,480,297,508
