frame,class,confidence,x1,y1,x2,y2
33,No Helmet,0.2512,130,447,158,480
49,Helmet,0.4588,0,571,18,596
50,Helmet,0.3879,0,571,18,595
51,Helmet,0.3457,0,571,18,595
52,Helmet,0.3388,0,570,18,595
53,Helmet,0.3373,0,570,18,593
54,Helmet,0.3787,0,569,17,591
55,Helmet,0.3349,0,570,18,592
56,Helmet,0.2505,0,569,18,594
58,Helmet,0.2754,0,569,18,593
59,Helmet,0.324,0,569,18,593
60,Helmet,0.2966,0,568,18,593
61,Helmet,0.2643,0,568,18,592
67,Helmet,0.2623,1,567,21,592
68,Helmet,0.3218,0,566,21,592
69,Helmet,0.3617,0,567,21,592
70,Helmet,0.2535,0,567,20,591
86,Helmet,0.3402,1,569,18,589
87,Helmet,0.272,0,570,18,590
88,Helmet,0.2828,0,569,19,589
127,Helmet,0.2573,56,528,85,559
185,Helmet,0.2852,84,547,113,581
237,No Helmet,0.5134,78,500,103,531
238,No Helmet,0.7039,79,500,103,531
